OTU,Sample,Abundance,ID,Type,Sites,Day,Treatment,Treatment1,Treatment2,sample_Order,Domain,Phylum,Proteobacteria
,D0.11,291,D0.11,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,16.d,Bacteria,p_Bacteroidetes,
,D7.09,294,D7.09,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,17.d,Bacteria,p_Bacteroidetes,
,D7.10,325,D7.10,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,18.d,Bacteria,p_Bacteroidetes,
,D7.11,207,D7.11,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,19.d,Bacteria,p_Bacteroidetes,
,D21.09,325,D21.09,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,20.d,Bacteria,p_Bacteroidetes,
,D21.10,366,D21.10,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,21.d,Bacteria,p_Bacteroidetes,
,D21.11,357,D21.11,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,22.d,Bacteria,p_Bacteroidetes,
,D63.09,368,D63.09,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,23.d,Bacteria,p_Bacteroidetes,
,D63.10,370,D63.10,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,24.d,Bacteria,p_Bacteroidetes,
,D63.11,345,D63.11,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,25.d,Bacteria,p_Bacteroidetes,
,D0.05,511,D0.05,16S rDNA,10.D0_10kPa_N,0,Urea_10kPa,1. urea,LM,26.d,Bacteria,p_Bacteroidetes,
,D0.07,348,D0.07,16S rDNA,10.D0_10kPa_N,0,Urea_10kPa,1. urea,LM,27.d,Bacteria,p_Bacteroidetes,
,D0.08,377,D0.08,16S rDNA,10.D0_10kPa_N,0,Urea_10kPa,1. urea,LM,28.d,Bacteria,p_Bacteroidetes,
,D7.08,731,D7.08,16S rDNA,11.D7_10kPa_N,7,Urea_10kPa,1. urea,LM,29.d,Bacteria,p_Bacteroidetes,
,D14.06,515,D14.06,16S rDNA,12.D14_10kPa_N,14,Urea_10kPa,1. urea,LM,30.d,Bacteria,p_Bacteroidetes,
,D14.07,717,D14.07,16S rDNA,12.D14_10kPa_N,14,Urea_10kPa,1. urea,LM,31.d,Bacteria,p_Bacteroidetes,
,D14.08,724,D14.08,16S rDNA,12.D14_10kPa_N,14,Urea_10kPa,1. urea,LM,32.d,Bacteria,p_Bacteroidetes,
,D21.08,611,D21.08,16S rDNA,13.D21_10kPa_N,21,Urea_10kPa,1. urea,LM,33.d,Bacteria,p_Bacteroidetes,
,D35.05,1043,D35.05,16S rDNA,14.D35_10kPa_N,35,Urea_10kPa,1. urea,LM,34.d,Bacteria,p_Bacteroidetes,
,D35.06,572,D35.06,16S rDNA,14.D35_10kPa_N,35,Urea_10kPa,1. urea,LM,35.d,Bacteria,p_Bacteroidetes,
,D35.07,1138,D35.07,16S rDNA,14.D35_10kPa_N,35,Urea_10kPa,1. urea,LM,36.d,Bacteria,p_Bacteroidetes,
,D63.05,622,D63.05,16S rDNA,15.D63_10kPa_N,63,Urea_10kPa,1. urea,LM,37.d,Bacteria,p_Bacteroidetes,
,D63.06,848,D63.06,16S rDNA,15.D63_10kPa_N,63,Urea_10kPa,1. urea,LM,38.d,Bacteria,p_Bacteroidetes,
,D63.07,577,D63.07,16S rDNA,15.D63_10kPa_N,63,Urea_10kPa,1. urea,LM,39.d,Bacteria,p_Bacteroidetes,
,D0.01,446,D0.01,16S rDNA,16.D0_1kPa_N,0,Urea_1.0kPa,1. urea,HM,40.d,Bacteria,p_Bacteroidetes,
,D0.02,293,D0.02,16S rDNA,16.D0_1kPa_N,0,Urea_1.0kPa,1. urea,HM,41.d,Bacteria,p_Bacteroidetes,
,D0.03,289,D0.03,16S rDNA,16.D0_1kPa_N,0,Urea_1.0kPa,1. urea,HM,42.d,Bacteria,p_Bacteroidetes,
,D7.01,969,D7.01,16S rDNA,17.D7_1kPa_N,7,Urea_1.0kPa,1. urea,HM,43.d,Bacteria,p_Bacteroidetes,
,D7.02,1014,D7.02,16S rDNA,17.D7_1kPa_N,7,Urea_1.0kPa,1. urea,HM,44.d,Bacteria,p_Bacteroidetes,
,D7.03,981,D7.03,16S rDNA,17.D7_1kPa_N,7,Urea_1.0kPa,1. urea,HM,45.d,Bacteria,p_Bacteroidetes,
,D14.02,1180,D14.02,16S rDNA,18.D14_1kPa_N,14,Urea_1.0kPa,1. urea,HM,46.d,Bacteria,p_Bacteroidetes,
,D14.03,1045,D14.03,16S rDNA,18.D14_1kPa_N,14,Urea_1.0kPa,1. urea,HM,47.d,Bacteria,p_Bacteroidetes,
,D14.04,1104,D14.04,16S rDNA,18.D14_1kPa_N,14,Urea_1.0kPa,1. urea,HM,48.d,Bacteria,p_Bacteroidetes,
,D21.01,1337,D21.01,16S rDNA,19.D21_1kPa_N,21,Urea_1.0kPa,1. urea,HM,49.d,Bacteria,p_Bacteroidetes,
,D21.04,663,D21.04,16S rDNA,19.D21_1kPa_N,21,Urea_1.0kPa,1. urea,HM,50.d,Bacteria,p_Bacteroidetes,
,D35.01,1431,D35.01,16S rDNA,20.D35_1kPa_N,35,Urea_1.0kPa,1. urea,HM,52.d,Bacteria,p_Bacteroidetes,
,D35.02,1629,D35.02,16S rDNA,20.D35_1kPa_N,35,Urea_1.0kPa,1. urea,HM,53.d,Bacteria,p_Bacteroidetes,
,D35.03,1690,D35.03,16S rDNA,20.D35_1kPa_N,35,Urea_1.0kPa,1. urea,HM,54.d,Bacteria,p_Bacteroidetes,
,D63.01,1321,D63.01,16S rDNA,21.D63_1kPa_N,63,Urea_1.0kPa,1. urea,HM,55.d,Bacteria,p_Bacteroidetes,
,D63.02,1006,D63.02,16S rDNA,21.D63_1kPa_N,63,Urea_1.0kPa,1. urea,HM,56.d,Bacteria,p_Bacteroidetes,
,D0.13,68,D0.13,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,04.d,Bacteria,p_Candidate division WS3,
,D0.14,98,D0.14,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,05.d,Bacteria,p_Candidate division WS3,
,D0.15,72,D0.15,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,06.d,Bacteria,p_Candidate division WS3,
,D7.13,93,D7.13,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,07.d,Bacteria,p_Candidate division WS3,
,D7.14,98,D7.14,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,08.d,Bacteria,p_Candidate division WS3,
,D7.15,85,D7.15,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,09.d,Bacteria,p_Candidate division WS3,
,D21.16,72,D21.16,16S rDNA,04.D21_10kPa ,21,No_Urea_10kPa,2. No urea,LM,10.d,Bacteria,p_Candidate division WS3,
,D63.13,98,D63.13,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,11.d,Bacteria,p_Candidate division WS3,
,D63.14,70,D63.14,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,12.d,Bacteria,p_Candidate division WS3,
,D63.15,101,D63.15,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,13.d,Bacteria,p_Candidate division WS3,
,D0.09,73,D0.09,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,14.d,Bacteria,p_Candidate division WS3,
,D0.10,84,D0.10,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,15.d,Bacteria,p_Candidate division WS3,
,D0.11,82,D0.11,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,16.d,Bacteria,p_Candidate division WS3,
,D7.09,75,D7.09,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,17.d,Bacteria,p_Candidate division WS3,
,D7.10,137,D7.10,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,18.d,Bacteria,p_Candidate division WS3,
,D7.11,76,D7.11,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,19.d,Bacteria,p_Candidate division WS3,
,D21.09,92,D21.09,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,20.d,Bacteria,p_Candidate division WS3,
,D21.10,77,D21.10,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,21.d,Bacteria,p_Candidate division WS3,
,D21.11,103,D21.11,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,22.d,Bacteria,p_Candidate division WS3,
